bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
5,7,3.5,78731,0,4.91,Q3,1,0,1,0,0,1019000,391.0,0.0296336206896551
2,3,1.0,78745,1,4.92,Q3,0,1,1,1,0,456000,118.0,0.2228163992869875
2,2,1.0,78704,1,4.86,Q3,0,1,1,0,0,802000,157.0,0.3137428192664604
0,1,1.0,78701,0,3.0,Q3,1,0,1,0,1,727000,150.0,0.0148148148148148
3,3,2.0,78744,0,4.91,Q3,0,0,1,1,0,358000,136.0,0.7
2,2,1.5,78723,1,4.95,Q3,0,0,1,1,0,502000,175.0,0.1622247972190034
1,2,1.0,78704,1,5.0,Q3,0,0,1,1,0,802000,124.0,0.1937854994988306
3,3,3.0,78702,0,5.0,Q3,0,1,1,1,0,613000,688.0,0.0512585812356979
1,2,1.0,78704,1,4.88,Q3,0,0,1,1,0,802000,106.0,0.4986990459670425
2,4,1.0,78734,1,4.91,Q3,0,1,1,0,0,648000,259.0,0.1044979554747841
0,1,1.0,78752,0,4.56,Q3,1,1,1,1,1,422000,69.0,0.0786905886056027
2,4,1.5,78744,0,4.47,Q3,0,0,1,1,0,358000,75.0,0.3158522050059594
0,1,1.0,78752,0,4.47,Q3,1,1,1,1,1,422000,74.0,0.0467144191840548
0,2,1.0,78752,0,4.52,Q3,1,1,1,1,1,422000,74.0,0.0653391412570006
2,2,1.0,78702,1,4.92,Q3,1,1,0,1,0,613000,186.0,0.1788846018940722
2,2,1.5,78704,0,3.0,Q3,0,0,1,1,0,802000,165.0,0.0769230769230769
3,3,2.0,78745,1,5.0,Q3,0,1,1,1,0,456000,333.0,0.0705697856769472
2,3,1.5,78741,0,4.84,Q3,1,1,0,1,0,397000,102.0,0.5061927840603123
4,5,2.0,78733,1,4.82,Q3,0,1,1,0,0,1120000,349.0,0.1519756838905775
2,3,1.0,78737,1,4.98,Q3,1,0,0,1,0,786000,189.0,0.3478810879190386
1,1,1.0,78704,0,5.0,Q3,0,0,1,1,0,802000,500.0,0.0024396194193705
1,3,1.0,78737,1,4.94,Q3,1,0,1,0,0,786000,174.0,0.2255154639175257
2,2,2.0,78745,1,4.75,Q3,0,1,1,1,0,456000,76.0,0.7
2,2,1.0,78757,0,5.0,Q3,0,0,1,1,0,612000,80.0,0.0094876660341555
1,1,1.0,78727,1,5.0,Q3,0,1,1,1,0,474000,75.0,0.3533408833522083
3,3,2.0,78704,1,5.0,Q3,0,0,0,0,0,802000,196.0,0.089006495068559
3,3,3.0,78753,0,4.7,Q3,0,0,1,1,0,364000,106.0,0.0292825768667642
4,4,2.0,78723,0,5.0,Q3,0,0,1,1,0,502000,400.0,0.0022148394241417
3,3,2.0,78744,0,4.71,Q3,0,0,1,1,0,358000,209.0,0.0313620071684587
1,2,1.0,78702,0,5.0,Q3,0,0,1,1,0,613000,90.0,0.1026518391787852
1,2,1.0,78721,1,5.0,Q3,0,0,1,1,0,464000,80.0,0.0420462508759635
0,1,1.0,78752,0,4.76,Q3,1,1,1,1,1,422000,69.0,0.0536277602523659
3,4,2.5,78704,0,4.88,Q3,1,0,1,0,0,802000,409.0,0.7
3,3,2.5,78744,0,4.89,Q3,0,0,0,1,0,358000,213.0,0.0498614958448753
2,2,1.0,78748,1,4.96,Q3,1,0,0,1,1,440000,107.0,0.7
3,3,2.0,78745,0,4.74,Q3,0,1,1,1,0,456000,159.0,0.0693512304250559
4,10,3.0,78744,0,4.76,Q3,0,1,1,1,0,358000,145.0,0.7
3,4,2.5,78721,1,5.0,Q3,0,1,1,1,0,464000,244.0,0.0433925049309664
1,2,1.0,78704,0,4.58,Q3,0,0,0,1,0,802000,108.0,0.4885906040268456
5,6,4.5,78703,0,5.0,Q3,1,0,1,0,0,1324000,1286.0,0.0181752090149036
2,3,1.0,78737,1,4.97,Q3,0,1,0,1,0,786000,225.0,0.3168506961113778
2,2,1.0,78745,1,4.95,Q3,0,1,1,1,0,456000,142.0,0.7
2,3,2.0,78702,1,4.98,Q3,0,1,1,0,0,613000,151.0,0.3175803402646502
4,9,4.0,78704,0,5.0,Q3,0,1,1,1,0,802000,640.0,0.0158730158730158
2,6,2.0,78737,1,5.0,Q3,1,0,1,1,0,786000,385.0,0.0708215297450425
0,2,1.0,78752,0,4.67,Q3,1,1,1,1,1,422000,77.0,0.0369344413665743
2,2,1.5,78745,0,4.29,Q3,0,0,0,1,0,456000,350.0,0.0397050482132728
0,2,1.0,78752,0,4.74,Q3,1,1,1,1,1,422000,74.0,0.0856055802155992
0,1,1.0,78752,0,4.5,Q3,1,1,1,1,1,422000,67.0,0.0508259212198221
1,1,1.0,78704,0,4.67,Q3,1,1,1,0,0,802000,126.0,0.2
4,6,3.0,78704,0,4.69,Q3,0,0,1,1,0,802000,995.0,0.0591850671522877
1,1,1.0,78704,1,4.99,Q3,0,1,1,1,0,802000,80.0,0.5654761904761905
